laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (02-01-2022 10:01:59 ... 05-18-2022 11:01:59)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
03-15-2022 16:27:08,'valor cambió Corriente del motor del cabrestante (E204890) - Límite de alarma máximo Desde 0.50 A a 2.10 A - por jm (thats me)
03-15-2022 16:27:15,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:30:27,'valor cambió Modo de servicio - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:32:34,'valor cambió Válvula de línea de lavado izquierda de filtros (V401900) - Modo de servicio Desde Cerrado a Abrir - por jm (thats me)
03-15-2022 16:38:00,'valor cambió Válvula de línea de lavado izquierda de filtros (V401900) - Modo de servicio Desde Abrir a Cerrado - por jm (thats me)
03-15-2022 16:38:26,'valor cambió Válvula de línea de lavado derecha de filtros (V401910) - Modo de servicio Desde Cerrado a Abrir - por jm (thats me)
03-15-2022 16:40:19,'valor cambió Válvula de línea de lavado derecha de filtros (V401910) - Modo de servicio Desde Abrir a Cerrado - por jm (thats me)
03-15-2022 16:43:13,'valor cambió Válvula de descarga PCS (K600540) - Modo de Servicio Punto de Ajuste Desde 100 % a 100 % - por jm (thats me)
03-15-2022 16:43:14,'valor cambió Válvula de descarga PCS (K600540) - Modo de servicio Desde Cerrado a Abrir - por jm (thats me)
03-15-2022 16:44:00,'valor cambió Válvula de descarga PCS (K600540) - Modo de servicio Desde Abrir a Cerrado - por jm (thats me)
03-15-2022 16:44:41,'valor cambió Válvula separadora del producto PCS (K605530) - Modo de servicio Desde Cerrado a Abrir - por jm (thats me)
03-15-2022 16:45:25,'valor cambió Válvula separadora del producto PCS (K605530) - Modo de servicio Desde Abrir a Cerrado - por jm (thats me)
03-15-2022 16:45:59,'valor cambió Válvula de soplado de filtro PCS (V606550) - Modo de servicio Desde Cerrado a Abrir - por jm (thats me)
03-15-2022 16:46:29,'valor cambió Válvula de soplado de filtro PCS (V606550) - Modo de servicio Desde Abrir a Cerrado - por jm (thats me)
03-15-2022 16:46:32,'valor cambió Válvula de vacío PCS (K605050) - Modo de servicio Desde Cerrado a Abrir - por jm (thats me)
03-15-2022 16:47:04,'valor cambió Válvula de vacío PCS (K605050) - Modo de servicio Desde Abrir a Cerrado - por jm (thats me)
03-15-2022 16:54:18,'valor cambió Flujo de aire de entrada (F100010) - Establecer tiempo de alarma Desde 300 segundo a 50 segundo - por jm (thats me)
03-15-2022 16:54:28,'valor cambió Flujo de aire de entrada (F100010) - Retardo de alarma tiempo mín Desde 30 segundo a 10 segundo - por jm (thats me)
03-15-2022 16:58:09,'valor cambió Modo de servicio - Mando Desde Encendido a Apagado - por jm (thats me)
03-15-2022 16:58:14,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por jm (thats me)
03-15-2022 16:59:55,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por estebanba (Esteban Barrera Agudelo)
03-15-2022 17:00:43,'receta detenida en operación 1 (Carga)
03-15-2022 17:00:43,'Abrir proceso
03-15-2022 17:01:03,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 0 m3/h a 2000 m3/h - por estebanba (Esteban Barrera Agudelo)
03-15-2022 17:01:10,'el cambio manual de una operación a la operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 17:01:11,'receta iniciada en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 17:01:36,'receta detenida en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 17:01:38,'receta iniciada en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 17:02:08,'receta detenida en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 17:02:35,'receta iniciada en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 17:04:13,'valor cambió Flujo de aire de entrada (F100010) - Establecer tiempo de alarma Desde 50 segundo a 300 segundo - por estebanba (Esteban Barrera Agudelo)
03-15-2022 17:05:04,'receta detenida en operación 2 (Refrigeracion/ Calefaccion)
